,Link,Date,Media,Title,Article,Summary
0,https://www.prnewswire.com/news-releases/helping-hand-for-relief-and-development-furthers-un-clean-water-and-sanitation-goal-with-water-for-life-sanitation-and-hygiene-programs-300989275.html,"Tue, 21 Jan 2020 08:00:00 GMT",PRNewswire,"Helping Hand for Relief and Development Furthers UN Clean Water and Sanitation Goal with Water for Life, Sanitation and Hygiene Programs","HHRD is committed to further the United Nations' (UN) 2030 Goal for Sustainable Development with its Water for Life and Water, Sanitation and Hygiene programs. HHRD's programs promote UN Sustainable Goal#6 ""Clean Water and Sanitation"" to ensure the availability and sustainable management of water and sanitation for all.

HHRD's water and sanitation programs help people gain access to clean water for daily consumption and irrigation purposes through the construction and rehabilitation of water supply schemes. Water for Life is tailored towards supporting poor, drought affected, displaced people, and host communities by providing access to clean drinking water through the construction of shallow wells. Through our Water Sanitation and Hygiene program the distribution of soaps and hygiene kits, in areas of natural disasters such as floods and earthquakes, help combat the spread of water-borne diseases. Children are taught hygiene skills and are given proper instructions on how they should keep themselves healthy.

For further information on Water for Life or Water Sanitation and Hygiene programs visit www.hhrd.org/water

Ranked among the top 5% of 9,000 NGOs, HHRD has received a four-star rating from Charity Navigator over the past seven years. HHRD is a member of Inter-Action as well as, an accredited charity by the Better Business Bureau with an A+ rating. With an overall score of 98.23 out of 100 HHRD has earned the trust of US donors.

HHRD is a global humanitarian organization responding to human sufferings in emergency and disastrous situations all over the world regardless of race, gender, ethnicity, class, and religion. To donate please visit www.hhrd.org or call 1-888-808-4357(HELP). HHRD is a non-profit 501 (c) (3) tax-exempt organization. Tax ID# 31-1628040

CONTACT:

Helping Hand USA

313-279-5378

SOURCE Helping Hand for Relief and Development

Related Links

http://www.hhrd.org

","HHRD is committed to further the United Nations' (UN) 2030 Goal for Sustainable Development with its Water for Life and Water, Sanitation and Hygiene programs.
HHRD's programs promote UN Sustainable Goal#6 ""Clean Water and Sanitation"" to ensure the availability and sustainable management of water and sanitation for all.
HHRD's water and sanitation programs help people gain access to clean water for daily consumption and irrigation purposes through the construction and rehabilitation of water supply schemes.
Through our Water Sanitation and Hygiene program the distribution of soaps and hygiene kits, in areas of natural disasters such as floods and earthquakes, help combat the spread of water-borne diseases.
For further information on Water for Life or Water Sanitation and Hygiene programs visit www.hhrd.org/waterRanked among the top 5% of 9,000 NGOs, HHRD has received a four-star rating from Charity Navigator over the past seven years."
1,https://www.ecotextile.com/2020012225568/social-compliance-csr-news/lindex-launches-clean-water-project-in-myanmar.html,"Wed, 22 Jan 2020 08:00:00 GMT",Ecotextile News,Lindex launches clean water project in Myanmar,"YANGON - Swedish fashion chain Lindex has teamed up with WaterAid to launch a joint project to increase the access to clean drinking water and sanitation for women and girls in the textile industry in Myanmar.

During the two-year project, clean drinking water facilities and proper toilets in communities and schools will be installed in Yangon, formerly known as Rangoon, the capital of the Yangon Region and the former national capital.

The programme, which aims to empower women and girls in communities where textile workers live, is a continuation of Lindex’s and WaterAid’s ongoing collaboration in Bangladesh.","YANGON - Swedish fashion chain Lindex has teamed up with WaterAid to launch a joint project to increase the access to clean drinking water and sanitation for women and girls in the textile industry in Myanmar.
During the two-year project, clean drinking water facilities and proper toilets in communities and schools will be installed in Yangon, formerly known as Rangoon, the capital of the Yangon Region and the former national capital.
The programme, which aims to empower women and girls in communities where textile workers live, is a continuation of Lindex’s and WaterAid’s ongoing collaboration in Bangladesh."
2,https://timesofindia.indiatimes.com/city/vijayawada/ap-ranks-top-in-health-insurance-clean-water-sanitation-sdg-2019/articleshow/73061993.cms,"Thu, 02 Jan 2020 08:00:00 GMT",Times of India,"Andhra Pradesh ranks top in health insurance, clean water & sanitation: SDG 2019","VIJAYAWADA: Andhra Pradesh finished among the ‘ frontrunner ’ states with a creditable third position in the latest United Nations’ Sustainable Development Goals ( SDG 2019) report by Niti Aayog.The state stood no.1 in some of the indicators which include health insurance coverage, clean water and sanitation. Telangana stands at fifth place.Overall, Andhra Pradesh scored 67 out of 100 points which marginally qualifies it as a frontrunning state among all 28 states.AP’s SDG score comparatively stands higher than the national average of 60. The state also improved on its overall score by three points compared to 2018 when it was 64 qualifying it as just a ‘performer’.On the other hand, Telangana scored well in economic growth and decent work while ranking poorly in gender equality. Interestingly, despite being a combined state once, there are certain contrast ratings between both the states as AP still lacks a concrete capital city. Some of the aspects Telangana scored over AP includes: wards with 100% door-to-door waste collection; births registered; and population covered under Aadhaar and households electrified.Of the 16 SDG indicators, AP is graded as a ‘frontrunner’ state in 11 indicators, two categories as ‘performer’ and three cases as ‘aspirant’ which is the lowest grade. AP also stands second place in terms of climate action, life below water — marine ecosystems (compared to nine coastal states in India), after Karnataka . AP stands third in terms of ‘no poverty’ with a score of 69 points.Each indicator has some sub-indicators in which there are contrasting ratings given by the SDG report. Some of the major improvements that the state witnessed under these sub-indicators include: internet subscribers, mobile tele density, habitations connected by all-weather roads under PMGSY, houses completed under PMAY, wards with 100% door-to-door waste collection, waste processed, sex ratio at birth and districts verified to be ODF.In terms of the sub-indicators, AP’s highest score of 96 comes with clean water and sanitation. The second indicator in which AP scored well is affordable clean energy and peace, justice and strong institutions. Conversely, AP stands amongst the worst in ‘zero hunger’ criteria despite standing second in agriculture productivity as food wastage is cited as a ‘major concern' in the report.","VIJAYAWADA: Andhra Pradesh finished among the ‘ frontrunner ’ states with a creditable third position in the latest United Nations’ Sustainable Development Goals ( SDG 2019) report by Niti Aayog.The state stood no.1 in some of the indicators which include health insurance coverage, clean water and sanitation.
Telangana stands at fifth place.Overall, Andhra Pradesh scored 67 out of 100 points which marginally qualifies it as a frontrunning state among all 28 states.AP’s SDG score comparatively stands higher than the national average of 60.
AP also stands second place in terms of climate action, life below water — marine ecosystems (compared to nine coastal states in India), after Karnataka .
The second indicator in which AP scored well is affordable clean energy and peace, justice and strong institutions.
Conversely, AP stands amongst the worst in ‘zero hunger’ criteria despite standing second in agriculture productivity as food wastage is cited as a ‘major concern' in the report."
3,https://www.santafenewmexican.com/news/local_news/2m-project-will-finally-give-parts-of-ca-oncito-clean-water/article_13036886-3179-11ea-820c-43dbd022980e.html,"Sat, 11 Jan 2020 08:00:00 GMT",Santa Fe New Mexican,$2M project will finally give parts of Cañoncito clean water,"×

Thank you for reading! On your next view you will be asked to log in to your subscriber account or create an account and subscribepurchase a subscription to continue reading.","×Thank you for reading!
On your next view you will be asked to log in to your subscriber account or create an account and subscribepurchase a subscription to continue reading."
4,https://www.herald.co.zw/clean-water-good-hygiene-essential-for-child-survival/,"Wed, 08 Jan 2020 08:00:00 GMT",The Herald,"Clean water, good hygiene essential for child survival","Our Children, Our Future,Correspondent

The Challenge

The current water and sanitation situation in Zimbabwe faces many challenges around capacity, behaviours and the lack of investment in these sectors during and after the economic crisis of the last decade.

Access to clean water is a basic right that is important for the survival of humanity, yet it can be one of the hardest resources to attain.

Data from the 2012 National Population Census shows that 25 percent of households do not have any type of toilet facility.

The availability of proper sanitation facilities is much higher in urban than in rural areas.

Multiple Indicator Cluster Survey (MICS) 2014 reports that the national open defecation rate is at 31,7 percent. This, affects rural areas in particular, where 44 percent of the population practices open defecation.

Solutions and achievements

During 2018, UNICEF continued to increase access to water by drilling new boreholes and rehabilitating defunct pipe water schemes and boreholes in rural focus districts with a strong focus on solar power.

The urban WASH programme saw a two-fold increase in water production across 14 small towns alongside rehabilitation of sewer systems.

Sustainability of water supply systems was strengthened through the development of a national public-private strategic framework.

The framework seeks to bolster the role of the private sector, with UNICEF supported pilots to improve monitoring and operations.

UNICEF also supported system strengthening around monitoring, as well as operation and maintenance using community participation.

This included linking community residents in rural areas via SMS to the web-based rural WASH information management system.

Improving Sanitation

The Government, with support from UNICEF and other partners, has approved a gender-sensitive Sanitation and Hygiene Policy. The policy aims to create an open defecation free Zimbabwe by 2030 in line with the Sustainable Development Goals (SDGs).

To achieve this, the demand-led Sanitation Focused Participatory Health and Hygiene Education (SafPHHE) has been adopted and is being implemented in the 45 UNICEF-supported rural districts.

Hygiene Promotion

Hygiene promotion remained a key component of the UNICEF WASH programme.

Under the Participatory Health and Hygiene Education (PHHE) initiative, 432 sanitation action groups and 388 health clubs were supported to provide hygiene messages to rural children and families.

UNICEF also works on the critically important issue of Menstrual Hygiene Management which can greatly impact on the health and education of adolescent girls and is currently commissioning a large-scale formative study to better guide large scale MHM programming moving forward.

Capacity Building in the WASH Sector

Work continues to enhance national capacity and partnerships for improved WASH service delivery.

A national community-based management strategy is now in place to facilitate community management of operation and maintenance of water systems.

UNICEF strongly believes in system strengthening to ensure Government, development actors and communities can work together better to improve the lives of the most vulnerable in Zimbabwe.

One such platform is a regular WASH partner forum for sharing of information and knowledge.

Currently, UNICEF is supporting the Government on a Joint Sector review to help streamline accountabilities in the sector, produce costed investment plans to meet SDGs and mould a common vision for WASH in Zimbabwe.

UNICEF

UNICEF’s water, sanitation and hygiene (WASH) team works in over 100 countries worldwide to improve water and sanitation services, as well as basic hygiene practices.

Last year, UNICEF’s efforts saw 45 million reached with improved water supplies, improved sanitation for 22 million and 50 000 communities become open defecation free.

Children are particularly vulnerable; UNICEF responds and provides emergency relief to those in need.

UNICEF WASH team in Zimbabwe supported Government in 2018 with response to drought, cholera and typhoid outbreaks and co-chairs an Emergency Strategic Advisory Group with Government on WASH in Emergencies.

Approximately 300 000 people in cholera outbreaks have been reached by UNICEF.","Multiple Indicator Cluster Survey (MICS) 2014 reports that the national open defecation rate is at 31,7 percent.
The framework seeks to bolster the role of the private sector, with UNICEF supported pilots to improve monitoring and operations.
This included linking community residents in rural areas via SMS to the web-based rural WASH information management system.
Hygiene PromotionHygiene promotion remained a key component of the UNICEF WASH programme.
UNICEFUNICEF’s water, sanitation and hygiene (WASH) team works in over 100 countries worldwide to improve water and sanitation services, as well as basic hygiene practices."
5,https://www.thenewsminute.com/article/andhra-stands-first-health-sanitation-clean-drinking-water-niti-aayog-report-115251,"Fri, 03 Jan 2020 08:00:00 GMT",The News Minute,"Andhra stands first in health, sanitation, clean drinking water: NITI Aayog report","Andhra Pradesh has bagged a creditable third position among the 28 states in the latest United Nations Sustainable Goals report by NITI Aayog. The state stood first in certain indicators such as health insurance coverage, clean water and sanitation, with an overall score of 67 points, which qualifies it as a frontrunner state.

According to the report, out of the 16 indicators, Andhra Pradesh has bagged the first position in providing clean drinking water and sanitation as well as peace, justice and strong institutions. The state is second in good health and well-being, climate action as well as economic growth, and third in alleviating poverty. It stands sixth at generating clean and affordable energy and 17th position at tackling gender inequality.

While Andhra Pradesh has scored a total of 67 points, the national average stands at 60 points. The state has improved overall by a margin of three points with 64 points in 2018.

In 11 categories, Andhra Pradesh has been termed a frontrunner, a performer in two categories and an aspirant in three categories, which is the lowest. The state has improved in parameters such as sex ratio at birth, open defecation-free districts, mobile teledensity, better road connectivity and door-to-door waste collection, among others.

Despite a third position in the ‘zero poverty’ category, Andhra Pradesh stands amongst the worst in ‘zero hunger’. The NITI Aayog report has mentioned food wastage as a primary factor for increased hunger levels. The state has bagged the second position in agricultural productivity.

Not left far behind, neighbouring state Telangana stands at the fifth position among all the states. While it has fared better at providing electricity, houses covered under electricity and economic growth, Telangana has scored fairly poor in maintaining gender equality.

Kerala ranks top in the list and Bihar at the bottom. Odisha, Uttar Pradesh and Sikkim have shown maximum improvement compared to their ranks in 2018.","Andhra Pradesh has bagged a creditable third position among the 28 states in the latest United Nations Sustainable Goals report by NITI Aayog.
According to the report, out of the 16 indicators, Andhra Pradesh has bagged the first position in providing clean drinking water and sanitation as well as peace, justice and strong institutions.
While Andhra Pradesh has scored a total of 67 points, the national average stands at 60 points.
In 11 categories, Andhra Pradesh has been termed a frontrunner, a performer in two categories and an aspirant in three categories, which is the lowest.
Despite a third position in the ‘zero poverty’ category, Andhra Pradesh stands amongst the worst in ‘zero hunger’."
6,https://www.usatoday.com/story/news/health/2020/01/16/keurig-nespresso-mr-coffee-how-properly-clean-your-coffee-maker/4465580002/,"Thu, 16 Jan 2020 08:00:00 GMT",USA TODAY,"Most coffee makers are crawling with germs and growing mold, experts say. Here's why","CLOSE Are you an avid coffee drinker? Make sure you've got a clean coffee machine. Buzz60

If you're an avid coffee drinker, you’re probably making multiple trips to the kitchen to get your fix. But have you ever thought about how dirty your home or office coffee maker can get after all those uses?

Whether it’s the single-serve Keurig, espresso Nespresso machine or a traditional coffee maker, it’s important to keep these appliances clean to prevent the growth of bacteria, yeast or even mold.

Lisa Yakas, senior product manager of Consumer Products at NSF International, formerly known as the National Sanitation Foundation, says that these appliances are relatively harmless as long as clients follow the manufacturer’s cleaning directions.

However, without routine cleaning, they can get pretty grimy.

Mold and yeast like to grow in your coffee maker

Yakas points to the water reservoir – the part of the coffee maker that stores water – as one of the dirtiest parts of the kitchen if not cleaned on a regular basis.

A NSF International study of kitchen products in 2011 found that 50% of the sampled reservoirs in coffee makers had mold or yeast.

“It wasn’t on their radar,” Yakas said of the families involved in the study.

According to the U.S. Food and Drug Administration, food borne yeast and mold can be a source of sensitivity for people with allergies and may even cause infections.

Yakas recommends to always empty out the unused water in the reservoir and leave the lid off to let it dry out.

“Some of these organisms like these moist and damp places, that’s where they like to grow,” Yakas said. “If you eliminate that moisture altogether… then you eliminate their conditions to grow.”

Her motto is “keep it dry and keep it clean.”

Other places germs appear in and around your coffee maker

Chuck Gerba, professor of microbiology at the University of Arizona, said coffee break rooms have more bacteria than restrooms in most office buildings.

If the office has a coffee pot, Gerba says the first thing that gets germiest is the coffee pot handle. However, on a single-use machine, he says the top of the machine where the people place the plastic pod has the most germs.

“When you use the machine, it could get in your coffee,” he said.

Gerba also said that another big source of germs are coffee cups, especially if they’re shared amongst co-workers. A 1997 study he co-authored examining office coffee cups found that E. coli and even fecal matter were found in some of the cups.

Are beards dirtier than dogs?: 'Significantly' more germs hide in men's beards, study finds

Leave your shoes at the door: Science says they're covered in poop and could make you sick

According to Gerba, the sponges that people were using to clean out their cups were actually contaminating them. If the office has a dishwasher, he recommends using it.

“Dishwashers work great because you have a high temperature and it dries out,” he said.

However, if the sponge can’t be avoided, Gerba says it’s important to wipe the coffee cup dry with a paper towel instead of using a cloth or letting it dry out on a rack.

Yuck: Sponges left in sinks become fecal germ bombs

How to clean your coffee maker: Keurig, Nespresso, Black & Decker, Mr. Coffee

Both Gerba and Yakas say that the heat from the coffee maker can kill most germs, but it shouldn't replace ritual cleaning or descaling, which should happen every one to six months depending on the manufacturer's recommendations.

“While it’s possible the heat of coffee brewing might kill some microbes, why take a chance?"" Yakas said. ""We think it’s best to go to the source and keep the coffee maker clean.""

So, here's how to properly clean your coffee maker according to the product's manufacturer:

Keurig: Turn off the Keurig and empty out the water reservoir, removing the filter. Pour Keurig descaling solution into the reservoir. After pouring the entire solution in, fill the empty bottle with water and add that into the reservoir. Power the Keurig back on, place a mug, perform a cleansing brew using 10 oz. brew size and then pour out the contents of the mug. Repeat until the ""add water"" light comes on. Let the Keurig sit for about 30 minutes (with the power still on) and then rinse out the reservoir thoroughly. Fill the reservoir with fresh water and perform at least 12 cleansing brews.

Nespresso: Rinse and clean the water tank before filling it with fresh water and then put the water tank in place. Rinse the cup support and place a container of at least 0.5 liters under under the coffee outlet. Then open the machine head, let the used capsule be ejected, and empty and rinse the capsule container. Close the head and turn lever until in the ""locked"" position. Push the button three times within two seconds, the button should start blinking quickly. It will take less than two minutes for a flow to come out, then the cleaning procedure will run automatically for five minutes for three cycles. The company urges that consumers to not use any cleaning agents or vinegar in the process. The company offers their own descaling products to use instead.

Wiping fungi on your face?: Your makeup bag is a cesspool of germs, study says

Before you swipe: Credit and debit cards have more germs than cash and train station urinals, study says

Black & Decker: The coffee maker will indicate when it's time for a cleaning cycle. Fill the reservoir with equal parts white vinegar and cold water, then place a paper filter into the filter basket and close the cover. Press the auto clean button on the control panel. About half of the liquid will pour into the pot right away, but the second half will take about 30 minutes. When the process is done, the pot should be full and the coffee maker will automatically shut off. Before brewing coffee again, run another cycle with just cold water.

Mr. Coffee: Some traditional coffee makers aren't programmable with a cleaning cycle, in which it's recommended to clean your coffee maker with the vinegar solution every 40 to 80 uses. Instead of using the auto clean button, turn on the coffee maker until the carafe is three cups full. Turn if off and wait 30 minutes, then turn it back on and brew the rest.

Gerba said that vinegar will clear out most of the mold and yeast, but it’s not considered to be a disinfectant by the U.S. Environmental and Protection Agency and doesn’t get rid of all the bacteria that can make a person sick.

That’s why Yakas recommends taking out each removable piece of the coffee maker and cleaning it by hand. Some coffee maker parts are dishwasher safe.

Follow Adrianna Rodriguez on Twitter: @AdriannaUSAT.

Read or Share this story: https://www.usatoday.com/story/news/health/2020/01/16/keurig-nespresso-mr-coffee-how-properly-clean-your-coffee-maker/4465580002/","Make sure you've got a clean coffee machine.
But have you ever thought about how dirty your home or office coffee maker can get after all those uses?
""We think it’s best to go to the source and keep the coffee maker clean.""
When the process is done, the pot should be full and the coffee maker will automatically shut off.
Mr. Coffee: Some traditional coffee makers aren't programmable with a cleaning cycle, in which it's recommended to clean your coffee maker with the vinegar solution every 40 to 80 uses."
7,https://indiacsr.in/liquipro-is-the-future-of-clean-water/,"Thu, 30 Jan 2020 08:00:00 GMT",IndiaCSR,Sustainability: LiquiPro is the future of clean water,"Since water depletion is a growing concern, we wanted to play our part towards enabling a greener tomorrow by creating a unique mechanism to help conserve water – Atmospheric Water Generator.

Current water scenario is that the Saline water in oceans, seas and groundwater make up about 97% of all the water on Earth. Only 2.5–2.75% is fresh water, including 1.75–2% frozen in glaciers, ice and snow, 0.5–0.75% as fresh groundwater and soil moisture, and less than 0.01% of it as surface water in lakes, swamps and rivers. We are only left with 0.003% of fresh and unpolluted water from the total water available globally.

The demand for water has increased by more than 300 percent in the last 50 years, while the supply remains the same. With the imminent threat of exhausting the world’s supply of freshwater, LiquiPro, an indigenous Atmospheric Water Generator has been created to tackle water problems and provide safe and pure drinking water. It uses the air-to-water technology which replicates the natural process of condensation by simulating a dew point, which allows it to make water continuously, even in humid conditions as low as 30%.

LiquiPro is able to cater to all kinds of water requirements from 20 litres of water per day of 400,000 litres of water per day. Our systems can be used in industries, construction sites, hydroponic farms, hospitals, hotels, residential buildings, rural areas, educational institutes and many more. Our water generator requires no water source, can work off the grid, does not waste any water and yet provides clean potable water as per requirement.

Working Principle of Atmospheric Water Generator by LiquiPro

The Atmospheric Water Generator utilizes the moisture content in the air to create the purest form of drinking water through a patented 4-step filtration process. The machine’s optimum performance ideally requires a minimum humidity level of approximately 30%. Not just that, it also performs well in an air-conditioned environment, acting as an effective dehumidifier.

The Process

Once the air is filtered through a patented air filter process, a condensation unit receives the humid airflow from the evaporator. The condensation unit then converts the water vapour into water. This process is known as Atmospheric Condensation. Once the water is generated through this process, it is then purified via a 4 step filtration process.

What is unique about LiquiPro’s Filtration Process?

Unlike other water purifiers, the water produced by the LiquiPro’s Atmospheric Water Generator is purified using a 4-step filtration process that features advanced water and air filters to create the purest drinking water possible. This includes an anti-static air filter, a water-dust filter, a pre-carbon filter, a sediment filter, an ozone filter, an RO membrane and a TCR filter.

Water Solution by LiquiPro

LiquiPro Is Where The Water Crisis Ends

LiquiPro’s cutting edge technology supplies clean drinking water to those who may never have had it, those who may temporarily need it and those who are living under the threat of losing their supply.

It can generate 30 to 10,000 liters of water per day.

Resilience

A new way to supply and deliver water

LiquiPro will lead the way in smart city infrastructure, by facilitating decentralization of the municipal water supply and infrastructure, and provide a sustainable, resilient and renewable water resource that is reliable, safe and effective.

Sustainability

Continuously generating water from air preserves rather than depleting local water sources

Reduces number and frequency of water deliveries, which decreases traffic congestion and carbon dioxide emissions.

Ability to safely and easily store water in reusable, biodegradable water containers or reservoirs for use in emergency situations

Atmospheric Water Generators Benefits & Features:-

1. Requires No Water Source

There are 37,500 trillion gallons of “fresh” water in the air at any given time and LiquiPro AWGs gives you pure drinking water from air!

2. Works Off The Grid:

Our Machines can work on off-grid power.

3. Easy To Use & Maintain

LiquiPro AWGs are cost efficient and require minimum maintenance to make it run. Installation of the AWG can be set up within a short time frame.

4. Un-Tether Yourself From Water Lines

LiquiPro AWGs gives you pure drinking water and lets you bypass water lines from the municipal water supplies completely, cleaning your air in the process.

5. No Water Wastage

LiquiPro AWGs don’t deplete existing water resources and unlike RO and desalination systems that waste 70% of the water as reject water, there is no water wastage.

6. Pure Drinking Water

LiquiPro AWGs outputs pure drinking water that contains no harmful chemicals, bacteria, viruses, pesticides or minerals.

Write for more details: info@liquipro.in","Since water depletion is a growing concern, we wanted to play our part towards enabling a greener tomorrow by creating a unique mechanism to help conserve water – Atmospheric Water Generator.
With the imminent threat of exhausting the world’s supply of freshwater, LiquiPro, an indigenous Atmospheric Water Generator has been created to tackle water problems and provide safe and pure drinking water.
Our water generator requires no water source, can work off the grid, does not waste any water and yet provides clean potable water as per requirement.
No Water WastageLiquiPro AWGs don’t deplete existing water resources and unlike RO and desalination systems that waste 70% of the water as reject water, there is no water wastage.
Pure Drinking WaterLiquiPro AWGs outputs pure drinking water that contains no harmful chemicals, bacteria, viruses, pesticides or minerals."
8,https://www.timeslive.co.za/news/south-africa/2020-01-29-protesters-build-wall-across-provincial-road-demand-clean-water/,"Wed, 29 Jan 2020 08:00:00 GMT",TimesLIVE,"Protesters build 'wall' across provincial road, demand clean water","Dennilton, Limpopo, home town of the Ndlovu Youth Choir, was shut down on Wednesday as residents protested over the provision of water.

Roads leading to Dennilton were blocked, schools were shut and the local shopping centre was closed.

In addition to burning tyres, the community built a wall-like structure with bricks across the middle of the R25 road towards Groblersdal. The R25 is a provincial route that connects Johannesburg with Groblersdal.

Community spokesperson Seun Mogotji said: “This call is genuine and no one from national, provincial and local government has ever clarified ... as to why the bulk water supply project is taking so long to complete.

“The ruling party in the region and the province has also failed us, none is willing to stand up and confront the masses ... and give a thorough explanation as to why a project which started in 2011 is still incomplete in 2020,” said Mogotji.","Dennilton, Limpopo, home town of the Ndlovu Youth Choir, was shut down on Wednesday as residents protested over the provision of water.
Roads leading to Dennilton were blocked, schools were shut and the local shopping centre was closed.
In addition to burning tyres, the community built a wall-like structure with bricks across the middle of the R25 road towards Groblersdal.
The R25 is a provincial route that connects Johannesburg with Groblersdal.
Community spokesperson Seun Mogotji said: “This call is genuine and no one from national, provincial and local government has ever clarified ... as to why the bulk water supply project is taking so long to complete."
9,https://www.youthkiawaaz.com/2020/01/periodpaath-we-need-clean-toilets-for-menstrual-hygiene/,"Sun, 05 Jan 2020 08:00:00 GMT",Youth Ki Awaaz,#PeriodPaath: We Need Clean Toilets For Menstrual Hygiene,"This post is an entry for the #Periodपाठ writing contest , a unique opportunity for you to write a letter and stand a chance of winning up to ₹30,000! The contest is organised by Youth Ki Awaaz in collaboration with WSSCC. Find out more here and submit your entry!

This post is an entry for the #Periodपाठ writing contest , a unique opportunity for you to write a letter and stand a chance of winning up to ₹30,000! The contest is organised by Youth Ki Awaaz in collaboration with WSSCC. Find out more here and submit your entry!

To,

The collector,

District alwar.

sub- for menstrual hygiene need clean toilets and better facilities.

Respected sir,

Our honorable prime minister run a campaign “clean India ” which was very important to us and this should be .in this clean India movement roads ,streets should be clean but also in this movement one thing which should also be clean that is toilets like public toilets, govt school toilets ,bus stand , hospital ..most of these places are unhygienic , spitting tobacco walls , mud , lack of water , no sanitizer and no dustbin…. Hygiene toilets are very important to our country’s women….and especially their menstrual hygiene… Menstruation is a natural ,normal biological process experienced by all adolescent girls and women ,yet it is not spoken about openly causing unnecessary embarrassment and shame.Unfortunately, there are more dark realities around menstruation.

In part of some country especially in villages women are unaware about menstrual hygiene.Common outcomes of unhealthy menstruation can be dermatitis, urinary tract infections (UTIs), which can be fatal if the kidney is damaged, genital tract infection, alteration in the pH balance of vaginal secretions, bacterial vaginosis, all leading to increased susceptibility to cervical cancer.

Of the 166,064 rural women aged 15-24 years surveyed for the National Family Health Survey, 2015-16 (NFHS-4), 51.8% relied on materials such as old fabric, rags, sand, ash, and hay to manage menstruation.

In some areas misconceptions are spread in many parts about the menstruation… For some girls menstruation can be barrier to education ..for many girls as lack of effective sanitary products restricts girls involvement in educational and social activities... In some part of our area clean water and toilet facilities are often inadequate..in addition , traditional culture make it difficult to discuss menstruation openly…this limits women and adolescent girls access to relevant and imp information about the normal function of their own body ..this directly affects their health , education, and dignity… Many young girls and women of menstruating age live in poor socio economic environment..many of women and girls live in lack basic access to safe water and lack adequate to basic sanitary conditions…these lack of safe accessible water, sanitation and hygiene is particularly troubling during menstruation and child birth…. At this time they need a safe environment that offers protection and guidance to ensure their basic health , well being and education opportunity. In schools for girls we should provide them clean well hygiene toilets with some facilities like sanitizer or soap , water and dustbin not even in schools also in public toilets… Girls and women in the workplace often miss work because they don’t have access to sanitary materials and places of employment in some states don’t provide resources for women or even have “proper toilets.”

In different part of our country women are facing different problem in menstruation some of like in schools lack of toilets and lack of facilities in toilets , some myths like we cannot worship to the GOD in menstruation time and some of the place women has to live in different place in menstruation time .they cannot cook and cannot do other house hold work..this is a high time they need a education about menstruation and give them pads and refuse them using clothes.. educate them about menstrual hygiene ..and most importantly provide them better facilities in toilets which is very important to women and girls in menstruation time .there should be a policy change in the country to deal with the issues around mental hygiene and suggested that the age limit of beneficiaries should be increased from 19 years to 45-50 years and free hygienic biodegradable sanitary pads should be made accessible to everyone through the ration distribution scheme for menstruating women living below the poverty line.

there should be strict policies and laws to deal with the cases of period shaming in schools, colleges, offices, factories, and other places.

considering the specific sanitation and hygiene requirements of adolescent girls and women, state governments and district administrations have a responsibility for putting in place the following.

The framework highlights the essential elements of a menstrual hygiene management programme that should be integrated in to other government schemes.

Your respectfully

Twinkle","sub- for menstrual hygiene need clean toilets and better facilities.
Hygiene toilets are very important to our country’s women….and especially their menstrual hygiene… Menstruation is a natural ,normal biological process experienced by all adolescent girls and women ,yet it is not spoken about openly causing unnecessary embarrassment and shame.Unfortunately, there are more dark realities around menstruation.
At this time they need a safe environment that offers protection and guidance to ensure their basic health , well being and education opportunity.
considering the specific sanitation and hygiene requirements of adolescent girls and women, state governments and district administrations have a responsibility for putting in place the following.
The framework highlights the essential elements of a menstrual hygiene management programme that should be integrated in to other government schemes."
